Chika
Beshie/Besh/Bes
Char/Chariz
Echos/Echosera
Mumsh
Kyah
Forda
Mars/Mare/Marecakes
Dasurv
Naur
yarn
ganern
omcm/omsim
korique
eme
bhie
apaka
amacana
ackla
mothering
bet
skrrt
bekenemen
